vegetables     
Баклажани 91 0.6 0.1 5.5 24
Бруква 87.5 1.2 0.1 8.1 37
"Горошок зелений" 80 5 0.2 13.3 72
Кабачки 93 0.6 0.3 5.7 27
"Капуста білоголова" 90 1.8 0 5.4 28
"Капуста червоноголова" 90 1.8 0 6.1 31
"Капуста цвітна" 90.9 2.5 0 4.9 29
Картопля 76 2 0.1 19.7 83
"Цибуля зелена (перо)" 92.5 1.3 0 4.3 22
"Цибуля порей" 87 3 0 7.3 40
"Цибуля ріпчаста" 86 1.7 0 9.5 43
"Морква червона" 88.5 1.3 0.1 7 33
"Огірки грунтові" 95 0.8 0 3 15
"Огірки парникові" 96.5 0.7 0 1.8 10
"Перець зелений солодкий" 92 1.3 0 4.7 23
"Перець червоний солодкий" 91 1.3 0 5.7 27
"Петрушка (зелень)" 85 3.7 0 8.1 45
"Петрушка (корінь)" 85 1.5 0 11 47
"Ревінь (черешкова)" 94.5 0.7 0 2.9 16
Редис 93 1.2 0 4.1 20
Редька 88.6 1.9 0 7 34
Ріпа 90.5 1.5 0 5.9 28
Салат 95 1.5 0 2.2 14
Буряк 86.5 1.7 0 10.8 48
"Томати (ґрунтові)" 93.5 0.6 0 4.2 19
"Томати (парникові)" 94.6 0.6 0 2.9 14
"Зелена квасоля (стручок)" 90 4 0 4.3 32
Хрін 77 2.5 0 16.3 71
Черемша 89 2.4 0 6.5 34
Часник 70 6.5 0 21.2 106
Шпинат 91.2 2.9 0 2.3 21
Щавель 90 1.5 0 5.3 28
fruit_n_berries     
Абрикоси 86 0.9 0 10.5 46
Айва 87.5 0.6 0 8.9 38
Алича 89 0.2 0 7.4 34
Ананас 86 0.4 0 11.8 48
Банани 74 1.5 0 22.4 91
Вишня 85.5 0.8 0 11.3 49
Гранат 85 0.9 0 11.8 52
Груша 87.5 0.4 0 10.7 42
Інжир 83 0.7 0 13.9 56
Кизил 85 1 0 9.7 45
Персики 86.5 0.9 0 10.4 44
"Садова горобина" 81 1.4 0 12.5 58
"Горобина чорноплідна" 80.5 1.5 0 12 54
"Зливу садова" 87 0.8 0 9.9 43
Фініки 20 2.5 0 72.1 281
Хурма 81.5 0.5 0 15.9 62
Черешня 85 1.1 0 12.3 52
Шовковиця 82.7 0.7 0 12.7 53
Яблука 86.5 0.4 0 11.3 46
Апельсин 87.5 0.9 0 8.4 38
Грейпфрут 89 0.9 0 7.3 35
Лимон 87.7 0.9 0 3.6 31
Мандарин 88.5 0.8 0 8.6 38
Брусниця 87 0.7 0 8.6 40
Виноград 80.2 0.4 0 17.5 69
Лохина 88.2 1 0 7.7 37
Ожина 88 2 0 5.3 33
Суниця 84.5 1.8 0 8.1 41
Журавлина 89.5 0.5 0 4.8 28
Аґрус 85 0.7 0 9.9 44
Малина 87 0.8 0 9 41
Морошка 83.3 0.8 0 6.8 31
Обліпиха 75 0.9 0 5.5 30
"Смородина біла" 86 0.3 0 8.7 39
"Смородина червона" 85.4 0.6 0 8 38
"Смородина чорна" 85 1 0 8 40
Чорниця 86.5 1.1 0 8.6 40
"Шипшина свіжий" 66 1.6 0 24 101
"Шипшина сушена" 14 4 0 60 253
dried_fruits     
Урюк 18 5 0 67.5 278
Курага 20.2 5.2 0 65.9 272
"Родзинки з кісточкою" 19 1.8 0 70.9 276
"Родзинки, кишмиш" 18 2.3 0 71.2 279
Вишня 18 1.5 0 73 292
Груша 24 2.3 0 62.1 246
Персики 18 3 0 68.5 275
Чорнослив 25 2.3 0 65.6 264
Яблука 20 3.2 0 68 273
sweet     
Мед 17.2 0.8 0 80.3 308
"Драже фруктове" 7 3.7 10.2 73.1 384
Зефір 20 0.8 0 78.3 299
Ірис 6.5 3.3 7.5 81.8 387
Мармелад 21 0 0.1 77.7 296
"Карамель (в середньому)" 4.4 0 0.1 77.7 296
"Цукерки, глазуровані шоколадом" 7.9 2.9 10.7 76.6 396
Пастила 18 0.5 0 80.4 305
Цукор 0.2 0.3 0 99.5 374
